roll_no,subject_code,internal_marks,external_marks
CS2023001,CS301,42,44
CS2023002,CS301,41,43
CS2023003,CS301,40,42
CS2023004,CS301,39,41
CS2023005,CS301,38,40
CS2023006,CS301,37,39
CS2023007,CS301,36,38
CS2023008,CS301,35,37
CS2023009,CS301,34,36
CS2023010,CS301,33,35
CS2023011,CS301,32,34
CS2023012,CS301,31,33
CS2023013,CS301,30,32
CS2023014,CS301,29,31
CS2023015,CS301,28,30
CS2023016,CS301,27,29
CS2023017,CS301,26,28
CS2023018,CS301,25,27
CS2023019,CS301,24,26
CS2023020,CS301,23,25
CS2023021,CS301,45,45
CS2023022,CS301,44,44
CS2023023,CS301,43,43
CS2023024,CS301,42,42
CS2023025,CS301,41,41
CS2023026,CS301,40,40
CS2023027,CS301,39,39
CS2023028,CS301,38,38
CS2023029,CS301,37,37
CS2023030,CS301,36,36
CS2023031,CS301,35,35
CS2023032,CS301,34,34
CS2023033,CS301,33,33
CS2023034,CS301,32,32
CS2023035,CS301,31,31
CS2023036,CS301,30,30
CS2023037,CS301,29,29
CS2023038,CS301,28,28
CS2023039,CS301,27,27
CS2023040,CS301,26,26
CS2023041,CS301,25,25
CS2023042,CS301,24,24
CS2023043,CS301,23,23
CS2023044,CS301,22,22
CS2023045,CS301,21,21
CS2023046,CS301,20,20
CS2023047,CS301,19,19
CS2023048,CS301,18,18
CS2023049,CS301,17,17
CS2023050,CS301,16,16
